outcome,term,coefficient_log_odds,robust_standard_error,z_value,p_value,odds_ratio,ci_95_odds_ratio_low,ci_95_odds_ratio_high,ci_95_log_odds_low,ci_95_log_odds_high
has_grant_link,const,-2.8850045944459306,0.059023004399562,-48.87932465984973,0.0,0.0558545329152636,0.0497528486694972,0.0627045270896203,-3.0006875573284213,-2.76932163156344
has_grant_link,ethics_responsibility_primary,-0.3049177534032282,0.0740420640465125,-4.118169277556631,3.818941388922809e-05,0.7371840027737773,0.6376042204354821,0.8523159611057782,-0.4500375322754007,-0.1597979745310556
has_grant_link,computational_performance_primary,0.4069705669122504,0.0725090907266867,5.612683359197967,1.9921293555400825e-08,1.5022598888641037,1.3032424618545333,1.7316691557751662,0.2648553605361972,0.5490857732883037
has_grant_link,mental_health_conditions_symptoms,0.3022259814326474,0.0561828054032382,5.379332328877044,7.476258784700763e-08,1.3528669149718724,1.211803452136074,1.5103512755301112,0.1921097062918781,0.4123422565734168
has_grant_link,clinical_assessment_diagnosis,0.0508403918746856,0.0649976558259491,0.7821880839953084,0.4341040463791548,1.0521549474021017,0.9263041221353668,1.1951042933834015,-0.0765526726237046,0.1782334563730759
has_grant_link,treatment_intervention,0.1772630776548807,0.0578915631573073,3.06198464831927,0.0021987472892597,1.1939451521050497,1.065876748865425,1.3374013719245987,0.0637976988578323,0.2907284564519291
has_grant_link,neurocognitive_affective_processes,-0.0375647503093355,0.063761398041899,-0.5891456502357576,0.555763572456609,0.9631320526034262,0.8499865152160009,1.091338902613483,-0.1625347940753803,0.0874052934567092
has_grant_link,publication_year_centered,-0.0198021624586707,0.0078691557425179,-2.516427823594512,0.0118551179186376,0.980392612585899,0.9653877698621974,0.9956306727919344,-0.0352254243027424,-0.0043789006145989
has_grant_link,log1p_times_cited,0.5048059217050709,0.0168784503233783,29.908309829005145,1.5343966945663958e-196,1.6566639667406258,1.602756191549279,1.7123848986936827,0.471724766956401,0.5378870764537408
has_policy_document_link,const,-7.689335613695698,0.3021008927065386,-25.452872862461653,6.560994495650719e-143,0.000457682148496,0.0002531717405569,0.0008273946712661,-8.281442483097912,-7.097228744293483
has_policy_document_link,ethics_responsibility_primary,0.242808318853207,0.1909383195889119,1.2716584045359285,0.2034945156510913,1.2748242409249224,0.8768459911010993,1.853434767043856,-0.1314239108096591,0.6170405485160732
has_policy_document_link,computational_performance_primary,-0.2546351997075497,0.241321962082432,-1.055167948703194,0.2913485200217593,0.7751992392950867,0.4830584809596115,1.2440188596004074,-0.727617554067657,0.2183471546525575
has_policy_document_link,mental_health_conditions_symptoms,0.1241534905555725,0.1574950393789575,0.788300958843789,0.4305206869478174,1.1321896380795935,0.8314940680820765,1.5416266041819429,-0.1845311143709018,0.4328380954820469
has_policy_document_link,clinical_assessment_diagnosis,-0.225618080017064,0.1838652453589399,-1.2270838873144003,0.2197910632008063,0.7980228243355846,0.5565560809617979,1.144252034871318,-0.5859873389292066,0.1347511788950785
has_policy_document_link,treatment_intervention,0.0271156535176445,0.1578052481802247,0.1718298588312892,0.8635712906866759,1.027486628334959,0.7541402279994334,1.399910430726864,-0.2821769494870008,0.3364082565222899
has_policy_document_link,neurocognitive_affective_processes,-0.5148700103487162,0.2123154540355398,-2.4250237114747715,0.0153073869282358,0.5975782685604688,0.39415909624213,0.9059788051583187,-0.9310006536196436,-0.0987393670777887
has_policy_document_link,publication_year_centered,-0.0638721633467798,0.0152608365224555,-4.185364495111076,2.847088710238151e-05,0.9381249186154372,0.9104804485970268,0.9666087440794,-0.0937828533047461,-0.0339614733888134
has_policy_document_link,log1p_times_cited,1.1501258459269108,0.0636965855315719,18.05631866023397,7.036134500668986e-73,3.158590380413362,2.7878838528020284,3.57858996931042,1.0252828323468548,1.2749688595069668
